appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,appid
207230,ArcheBlade™,2014-04-25,Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Anime;Action,5642,2086,101,207230
236430,DARK SOULS™ II,2014-04-25,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support,Action;RPG,RPG;Dark Fantasy;Difficult,30008,3799,3041,236430
275470,Chip,2014-04-25,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Indie;Puzzle;Strategy,932,167,432,275470
275490,Canyon Capers,2014-04-25,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie,Indie;Casual;Platformer,838,1066,229,275490
280140,Millennium - A New Hope,2014-04-25,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;RPGMaker,231,77,277,280140
283660,Rabbit Hole 3D: Steam Edition,2014-04-25,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Indie;Casual;Action,199,118,240,283660
286340,FarSky,2014-04-25,Single-player,Adventure;Indie,Survival;Open World;Underwater,2571,1008,206,286340
288750,Hotel Collectors Edition,2014-04-25,Single-player,Adventure;Indie,Adventure;Indie;Point & Click,7,18,0,288750
296240,The Promised Land,2014-04-25,Single-player;Steam Trading Cards,Adventure;Casual;Strategy,Casual;Strategy;Adventure,449,86,0,296240
280930,Battlepillars Gold Edition,2014-04-28,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie;Strategy,Strategy;Action;Indie,252,38,22,280930
291070,Slip,2014-04-28,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie,Indie;Action;Platformer,90,19,0,291070
230840,Daylight,2014-04-29,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Action;Adventure;Casual;Indie,Horror;Adventure;Indie,760,767,184,230840
256290,Child of Light,2014-04-29,Single-player;Shared/Split Screen;Partial Controller Support,RPG,RPG;Fantasy;Great Soundtrack,9980,747,818,256290
281240,Adventure Chronicles: The Search For Lost Treasure,2014-04-29,Single-player,Adventure,Adventure;Hidden Object;Point & Click,42,22,0,281240
294390,Escape The Lost Kingdom: The Forgotten Pharaoh,2014-04-29,Single-player,Adventure,Adventure;Hidden Object;Point & Click,35,34,0,294390
296220,Farm Frenzy 4,2014-04-29,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Strategy,Casual;Agriculture;Strategy,228,57,0,296220
298020,Escape The Museum,2014-04-29,Single-player,Adventure,Adventure;Hidden Object;Point & Click,17,25,0,298020
227780,Serious Sam Classics: Revolution,2014-04-30,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie;Early Access,Early Access;Action;FPS,1339,165,34,227780
